date,open,high,low,close,volume
04.11.2024 00:00:00.000,1.08730,1.08749,1.08703,1.08704,1569.17
04.11.2024 00:15:00.000,1.08704,1.08730,1.08701,1.08721,1108.8300000000002
04.11.2024 00:30:00.000,1.08721,1.08737,1.08711,1.08731,732.9999999999999
04.11.2024 00:45:00.000,1.08731,1.08794,1.08731,1.08773,2146.59
04.11.2024 01:00:00.000,1.08773,1.08803,1.08769,1.08799,2044.17
04.11.2024 01:15:00.000,1.08801,1.08870,1.08801,1.08846,2269.5800000000004
04.11.2024 01:30:00.000,1.08847,1.08876,1.08823,1.08848,1888.1800000000003
04.11.2024 01:45:00.000,1.08847,1.08916,1.08841,1.08885,2399.86
04.11.2024 02:00:00.000,1.08884,1.08905,1.08873,1.08885,2151.51
04.11.2024 02:15:00.000,1.08884,1.08900,1.08850,1.08889,1186.0800000000002
04.11.2024 02:30:00.000,1.08889,1.08920,1.08868,1.08915,1792.23
04.11.2024 02:45:00.000,1.08915,1.08944,1.08914,1.08943,1316.6200000000001
04.11.2024 03:00:00.000,1.08945,1.09011,1.08944,1.09004,3343.8299999999995
04.11.2024 03:15:00.000,1.09004,1.09011,1.08987,1.08990,2165.89
04.11.2024 03:30:00.000,1.08991,1.09035,1.08967,1.09015,2280.34
04.11.2024 03:45:00.000,1.09014,1.09050,1.09003,1.09017,2806.65
04.11.2024 04:00:00.000,1.09016,1.09031,1.09000,1.09003,1527.61
04.11.2024 04:15:00.000,1.09002,1.09002,1.08982,1.08989,903.1800000000001
04.11.2024 04:30:00.000,1.08990,1.09025,1.08977,1.09022,1609.9099999999999
04.11.2024 04:45:00.000,1.09022,1.09028,1.08969,1.08977,1558.34
04.11.2024 05:00:00.000,1.08977,1.08977,1.08944,1.08954,1821.41
04.11.2024 05:15:00.000,1.08955,1.08967,1.08945,1.08953,2664.8599999999997
04.11.2024 05:30:00.000,1.08953,1.08972,1.08948,1.08968,3241.8399999999997
04.11.2024 05:45:00.000,1.08968,1.09002,1.08948,1.08991,4592.130000000001
04.11.2024 06:00:00.000,1.08992,1.09021,1.08951,1.08958,3069.02
04.11.2024 06:15:00.000,1.08958,1.08994,1.08951,1.08973,2663.22
04.11.2024 06:30:00.000,1.08971,1.08978,1.08948,1.08960,2105
04.11.2024 06:45:00.000,1.08959,1.08959,1.08914,1.08917,1634.3999999999999
04.11.2024 07:00:00.000,1.08918,1.08923,1.08890,1.08915,2381.89
04.11.2024 07:15:00.000,1.08914,1.08948,1.08872,1.08893,4016.21
04.11.2024 07:30:00.000,1.08892,1.08958,1.08892,1.08924,3664.3599999999997
04.11.2024 07:45:00.000,1.08924,1.08934,1.08883,1.08914,2294.6999999999994
04.11.2024 08:00:00.000,1.08915,1.09009,1.08898,1.08993,3042.7499999999995
04.11.2024 08:15:00.000,1.08995,1.09000,1.08935,1.08954,1896.9599999999998
04.11.2024 08:30:00.000,1.08955,1.08959,1.08905,1.08919,2259.03
04.11.2024 08:45:00.000,1.08919,1.08944,1.08894,1.08931,2375.41
04.11.2024 09:00:00.000,1.08931,1.08965,1.08913,1.08965,1706.83
04.11.2024 09:15:00.000,1.08965,1.08985,1.08922,1.08977,1797.58
04.11.2024 09:30:00.000,1.08978,1.09023,1.08973,1.09005,1347.1099999999997
04.11.2024 09:45:00.000,1.09006,1.09010,1.08953,1.08964,1571.8799999999999
04.11.2024 10:00:00.000,1.08963,1.08986,1.08952,1.08978,1621.86
04.11.2024 10:15:00.000,1.08978,1.08984,1.08939,1.08970,1509.2900000000002
04.11.2024 10:30:00.000,1.08970,1.09030,1.08967,1.09020,1199.4199999999998
04.11.2024 10:45:00.000,1.09019,1.09025,1.08982,1.09018,1229.1699999999998
04.11.2024 11:00:00.000,1.09017,1.09048,1.09010,1.09035,1316.9899999999998
04.11.2024 11:15:00.000,1.09034,1.09044,1.09004,1.09016,1236.04
04.11.2024 11:30:00.000,1.09018,1.09085,1.08999,1.09080,1555.7199999999998
04.11.2024 11:45:00.000,1.09079,1.09141,1.09073,1.09136,2263.8399999999997
04.11.2024 12:00:00.000,1.09135,1.09148,1.09032,1.09033,1415.01
04.11.2024 12:15:00.000,1.09034,1.09098,1.09027,1.09084,1513.5400000000002
04.11.2024 12:30:00.000,1.09085,1.09092,1.09038,1.09038,1076.1699999999998
04.11.2024 12:45:00.000,1.09036,1.09067,1.09018,1.09047,1678.0299999999997
04.11.2024 13:00:00.000,1.09048,1.09081,1.09028,1.09081,2133.8700000000003
04.11.2024 13:15:00.000,1.09082,1.09093,1.08941,1.08954,3025.8700000000003
04.11.2024 13:30:00.000,1.08952,1.08988,1.08935,1.08985,3350.809999999999
04.11.2024 13:45:00.000,1.08985,1.09093,1.08975,1.09054,3845.7200000000003
04.11.2024 14:00:00.000,1.09052,1.09099,1.09025,1.09057,2438.0199999999995
04.11.2024 14:15:00.000,1.09058,1.09075,1.09004,1.09013,1806.8099999999995
04.11.2024 14:30:00.000,1.09012,1.09054,1.09005,1.09034,2785.81
04.11.2024 14:45:00.000,1.09036,1.09049,1.08957,1.09001,3435.5000000000005
04.11.2024 15:00:00.000,1.09001,1.09071,1.08984,1.09043,3757.7600000000007
04.11.2024 15:15:00.000,1.09043,1.09084,1.08988,1.09032,3379.02
04.11.2024 15:30:00.000,1.09031,1.09076,1.09012,1.09038,2921.1099999999997
04.11.2024 15:45:00.000,1.09037,1.09037,1.08961,1.08993,2993.5
04.11.2024 16:00:00.000,1.08993,1.09011,1.08911,1.08911,2797.23
04.11.2024 16:15:00.000,1.08911,1.08931,1.08861,1.08890,2744.5999999999995
04.11.2024 16:30:00.000,1.08889,1.08922,1.08869,1.08882,2204.77
04.11.2024 16:45:00.000,1.08883,1.08888,1.08804,1.08842,2457.79
04.11.2024 17:00:00.000,1.08842,1.08846,1.08801,1.08835,2235.55
04.11.2024 17:15:00.000,1.08837,1.08935,1.08833,1.08923,2614
04.11.2024 17:30:00.000,1.08923,1.08940,1.08827,1.08838,1517.8600000000001
04.11.2024 17:45:00.000,1.08839,1.08888,1.08828,1.08888,1558.5700000000002
04.11.2024 18:00:00.000,1.08889,1.08894,1.08809,1.08859,1994.01
04.11.2024 18:15:00.000,1.08859,1.08862,1.08799,1.08800,1751.87
04.11.2024 18:30:00.000,1.08800,1.08864,1.08783,1.08840,1655.3000000000002
04.11.2024 18:45:00.000,1.08840,1.08875,1.08833,1.08853,1771.55
